Date,Company,Project,Task,Projects - All assigned hours,Timesheets - All hours,Projects - Hours Remaining
1/1/2020,"Information & Computing Services,  Inc.",De Beers: Implementation,JIRA # & Name (Design),0,4.25,-4.25
1/1/2020,"Information & Computing Services,  Inc.",De Beers: Implementation,PSOC-152/OCP-3348/3349/3350/3352 – Receiving 05 (Develop),55,0,55
1/1/2020,"Information & Computing Services,  Inc.",De Beers: Implementation,PSOC-154/OCP-3351 – Inventory Inquiry (Develop),18,0,18
1/1/2020,"Information & Computing Services,  Inc.",De Beers: Implementation,PSOC-152/154 - OCP-3348/3349/3350/3351/3352 (Design),12,0,12
1/1/2020,"Information & Computing Services,  Inc.",De Beers: Implementation,PSOC-152/154 - OCP-3348/3349/3350/3351/3352 (Unit Test),20,0,20
1/1/2020,"Information & Computing Services,  Inc.",De Beers: Implementation,PSOC-152/154 - OCP-3348/3349/3350/3351/3352 (Manage),8,2.75,5.25
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,OCP-2709/2710 - PSOC-93 - Reserved Lot validation through Material Issue (Development),36,28.9,7.1
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,OCP-2709/2710 - PSOC-93 - Reserved Lot validation through Material Issue (Unit Testing),0,10.25,-10.25
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,OCP-2709/2710 - PSOC-93 - Reserved Lot validation through Material Issue (Design),0,2.25,-2.25
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,PSOC-103/104-Transp Ship Confirm/Inventory Inq (Design),0,4.5,-4.5
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,PSOC-103/OCP-3001 – Capture shipment costs (Design),8,0,8
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,PSOC-104/OCP-3117 – Update Lot Status (Design),6,0,6
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,PSOC-103/OCP-3001 – Capture shipment costs (Development),66,10,56
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,PSOC-104/OCP-3117 – Update Lot Status (Development),36,0,36
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,PSOC-93/103/104 – Unit Testing,22,0,22
1/1/2020,"Information & Computing Services,  Inc.",10x Genomics: Implementation,PSOC-93/103/104 – Management,12,0,12
1/1/2020,"Information & Computing Services,  Inc.",IB Milwaukee: Post Go Live,PSOC-80 – Cycle Count (Design),3.04,2.5,0.54
1/1/2020,"Information & Computing Services,  Inc.",IB Milwaukee: Post Go Live,PSOC-80/OCP-3199/3200 – Cycle Count (Development),9,10,-1
1/1/2020,"Information & Computing Services,  Inc.",IB Milwaukee: Post Go Live,PSOC-80/OCP-3199/3200 – Cycle Count (Unit Testing),3.04,0.75,2.29
1/1/2020,"Information & Computing Services,  Inc.",IB Milwaukee: Post Go Live,PSOC-80/OCP-3199/3200 – Cycle Count (Unit Testing),1,0,1
1/1/2020,"Information & Computing Services,  Inc.",Albelli: Post Go Live,Reverse Kanban (Base Workflow),6,4,2
1/1/2020,"Information & Computing Services,  Inc.",Construction Specialties: Implementation,PSOC-76/OCP-3144/3145-Ship Confirm Transportation (Design),0,7.5,-7.5
